Headline,Class
ควันหลง ‘ไฟใต้’ มองแนวโน้มสถานการณ์ชายแดนใต้ หลังตากใบหมดอายุความ,0
“ทักษิณ” ขออย่าไปสนใจ ปมสาดโคลนอีแอบ บอกคุย “ภูมิใจไทย” เป็นประจำ,1
กมธ.อุตสาหกรรม เห็นด้วยคำสั่งปิดโรงงานระเบิด แนะทำโมเดลเชือดพวกจงใจทำผิด,1
“ทักษิณ” ประกาศ ถึงเวลาพลิกฟื้นอีสาน ใช้เทคโนโลยีช่วย ให้มหาวิทยาลัยเทรนคน,0
“หญิงหน่อย” แนะ นายกฯ อิ๊งค์ รับมือ 3 ศึกหนัก เศรษฐกิจโลกปีหน้า,0
“โรม” แฉ “ภูมิธรรม” หลอกลวงคนไทย ไม่เคยประท้วงเมียนมาปมยิงเรือประมงไทย,1
“ชัยชนะ” วอนอย่าตีกินทางการเมือง ปัดอวย “ทักษิณ” เรื่องชั้น 14 ไม่ผิด,1
“พิชัย” ย้ำ ไทยพร้อมเป็นฮับ PCB - Data Center - AI - ยานยนต์ยุคใหม่ ของอาเซียน,0
รัฐบาลตีกรอบเยียวยาน้ำท่วมใต้ใน 30 วัน และรับเงินหลัง ธ.ก.ส. ไฟเขียวภายใน 10 วัน,0
"""อิ๊งค์"" ชิวๆ ไม่ใช่เรื่องใหญ่ 59 ภูมิใจไทยกล้าแหกมติวิปรัฐบาล โหวตหนุนประชามติ 2 ชั้น",1
“เอกนัฏ” สั่งปิด “โรงงานซิน เคอ หยวน” ลั่นถ้าไม่ปรับปรุงให้ดีขึ้นก็ไม่ต้องเปิด,1
“นฤมล” ชง 6 ด้าน แนวทางการปลดล็อกและพัฒนาภาคเกษตร,0
นายกฯ อิ๊งค์ ประกาศพร้อมเป็นครัวโลก ชูโครงการ 1 หมู่บ้าน 1 เชฟ,0
พรรคประชาชน เฉ่งนายกฯ เบี้ยวตอบ 2 กระทู้ ฉุนไม่ให้ความสำคัญงานสภา,1
รัฐบาลชื่นชม นักวิจัยไทย คว้าเหรียญเงิน คิดค้นแผ่นแปะรักษาโรคสะเก็ดเงิน,0
นายกฯ เตรียมบินมหาสารคามพรุ่งนี้ ติดตามโครงการ ODOS,0
“อนุทิน” ย้ำ ต้องเร่งจ่ายเยียวยาน้ำท่วมภาคใต้ ลั่น “ประชาชนทุกข์ ผมก็ทุกข์”,1
“นฤมล” ตรวจน้ำท่วมนครศรีธรรมราช สั่งเยียวยาเกษตรกรในพื้นที่ภาคใต้ด่วน,0
“นายกฯ อิ๊งค์” ยิ้มรับ หลังถูกถามปมศาลรัฐธรรมนูญไม่รับคำร้องดิจิทัลวอลเล็ต,1
ม็อบบี้ ป.ป.ช. เร่งคดีชั้น 14 ซัด “ทักษิณ” ฉ้อฉลรัฐธรรมนูญ จ่อยื่นเอาผิด “ทวี”,1
“เอกนัฏ” เผย คุมเพลิงไหม้โรงงานที่ระยองได้แล้ว สั่งหยุดประกอบกิจการทันที,0
พรรคประชาชน เปิด 6 ว่าที่ผู้สมัครนายก อบจ. พร้อมชนสนามปราจีนบุรี,0
วง ครม. เคาะงบ 368 ล้าน อนุมัติมาตรการรักษาเสถียรภาพราคามันสำปะหลัง,0
ครม. มอบ “ภูมิธรรม” เป็นรองประธาน ก.ต.ช. โยก “รณรงค์” นั่งเลขาฯ สคบ.คนใหม่,0
“โรม” ซัด “ทักษิณ” แย่ง “อิ๊งค์” เป็นนายกฯ จี้ ป.ป.ช. เร่งทำคดีชั้น 14,1
“เฉลิมชัย” สั่งระดมตั้งโรงครัวช่วยน้ำท่วมภาคใต้-จุฬาราชมนตรีไปแจกถุงยังชีพพรุ่งนี้,0
พรรคประชาชน ชงแก้รัฐธรรมนูญ ตั้ง ส.ส.ร. ยกร่างใหม่ เข้าสภาฯ ม.ค. ปีหน้า,0
พปชร. มีมติ ส่ง 4 สส. ร่วมวงดินเนอร์พรรคร่วมฝ่ายค้าน,0
ครม. เทงบฯ 368 ล้านบาท ช่วย 4 โครงการ รักษาเสถียรภาพราคามันสำปะหลัง,0
“อนุทิน” ไม่หวั่น “ทักษิณ-พิธา” ช่วยหาเสียง โว ภท. ยังครองแชมป์การเมืองท้องถิ่น,1
"ครม. เพิ่มอัตราเงินสงเคราะห์บุตร เหมาจ่าย 1,000 บาทต่อเดือนต่อบุตร 1 คน",0
“อิ๊งค์-เสี่ยหนู” เดินคุยโชว์ปึ้กหลัง ครม. นายกฯ ควงสามีลงใต้ติดตามน้ำท่วม,1
“ภูมิธรรม” เผย 4 ม.ค. 68 วันชาติเมียนมา คาด 4 ลูกเรือไทยได้ปล่อยตัว,0
“อนุทิน” ลงใต้พร้อมนายกฯ ช่วยน้ำท่วม ยัน พื้นที่ประสบภัยต้องเยียวยาเท่าเทียม,0
นายกฯ เร่งตั้งทีมปราบผู้มีอิทธิพล วันนี้ประชุม ครม. เร็วขึ้นก่อนลงดูน้ำท่วมใต้,0
“เอกนัฏ” ยันอยู่วง ครม. ไม่หวั่นไหว หลัง “ทักษิณ” เหน็บพรรคร่วมรัฐบาล,1
“บิ๊กป้อม” กำชับ สส.นครศรีธรรมราช เร่งช่วยเหลือผู้ประสบภัยน้ำท่วม,0
อนุกรรมการภาพยนตร์ แจงปมร่างกฎหมายใหม่ หลัง Doc Club & Pub. โอดถูกสั่งหยุดฉาย,1
“ชูศักดิ์” ช้ำใจเข็นรัฐธรรมนูญฉบับใหม่ไม่ตามเป้า เชียร์ทำประชามติ 2 ครั้ง,1
จับตา 20 สส. เปิดตัวซบพรรคกล้าธรรมก่อนปีใหม่ “ธรรมนัส” จ่อนั่ง ปธ.ที่ปรึกษาฯ,0
มติ ป.ป.ช. ตั้งอนุกรรมการไต่สวนคดีชั้น 14 พร้อมรับเรื่องไว้ไต่สวนปม “บิ๊กต่อ”,0
กกต. ยังไม่ฟัน “หมอเกศ” สั่งสอบเพิ่ม ปมถูกร้องวุฒิการศึกษา-ฮั้วเลือก สว.,1
“นายกฯ อิ๊งค์” บินด่วนลงใต้พรุ่งนี้ ตรวจสถานการณ์น้ำท่วมเมืองคอน พบปะประชาชน,0
